Postcode,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Double Orphan Pension,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,Low Income Card,Newstart Allowance,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pensioner Concession Card,Commonwealth Seniors Health Card,Sickness Allowance,Special Benefit,Widow Allowance,Widow B Pension,Wife Pension (Partner on Age Pension),Wife Pension (Partner on Disability Support Pension),Youth Allowance (other),Youth Allowance (student and apprentice)
4674,0,<5,241,<5,102,0,72,0,174,106,85,176,21,128,11,12,<5,557,20,<5,0,<5,0,<5,<5,14,<5
4675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0
4676,0,0,27,0,5,0,<5,0,14,11,8,11,<5,14,<5,<5,0,55,6,0,0,<5,0,0,0,0,0
4677,0,5,435,<5,115,<5,66,0,184,241,180,317,40,276,21,34,0,828,41,<5,0,<5,0,<5,5,22,6
4678,0,0,135,<5,28,0,12,0,28,39,34,43,5,38,<5,12,0,202,16,0,0,0,0,<5,0,0,<5
4680,16,70,"3,558",36,"1,054",47,381,<5,"1,225","3,177","2,789","3,787",371,"2,565",271,945,<5,"7,056",327,15,<5,31,0,6,11,487,85
4694,0,0,22,0,<5,0,<5,0,11,19,12,20,<5,21,0,5,0,45,0,0,0,0,0,0,0,0,<5
4695,<5,<5,134,<5,37,<5,15,0,41,70,57,88,5,72,<5,18,0,227,8,0,0,<5,0,<5,0,6,0
4697,0,0,15,0,8,<5,5,0,7,12,12,19,<5,11,<5,<5,0,30,<5,0,0,0,0,0,0,0,0
4699,0,<5,50,0,19,0,8,0,15,28,20,38,<5,14,<5,<5,0,80,8,0,0,0,0,0,0,<5,0
4700,27,47,"2,378",31,468,12,194,<5,975,"1,166",988,"1,444",200,"1,091",62,317,<5,"4,276",176,7,<5,12,0,<5,<5,174,76
4701,30,142,"4,669",62,"1,213",40,514,<5,"1,664","3,146","2,608","3,305",447,"2,019",202,788,5,"8,440",307,16,<5,30,0,9,10,405,158
4702,14,66,"2,387",20,741,16,320,0,864,"2,007","1,645","1,817",244,"1,137",145,494,10,"4,566",294,11,0,16,0,7,14,154,61
4703,14,37,"2,801",17,606,15,235,0,731,"1,329","1,067","1,409",272,954,82,302,5,"4,538",340,11,0,22,0,<5,9,136,71
4704,0,0,22,<5,<5,0,<5,0,6,5,<5,10,<5,8,0,<5,0,33,<5,0,0,0,0,0,0,<5,0
4705,<5,0,17,0,<5,0,<5,0,5,26,18,12,<5,5,0,<5,0,29,11,0,0,0,0,0,0,0,0
4706,0,0,15,0,5,0,<5,0,10,<5,0,<5,0,7,0,0,0,32,<5,0,0,<5,0,0,0,0,0
4707,0,0,48,0,15,0,12,0,22,11,8,12,0,11,0,<5,0,88,0,0,0,0,0,0,0,<5,0
4709,0,0,<5,0,8,<5,0,0,<5,16,16,15,0,<5,<5,<5,0,9,0,0,0,0,0,0,0,<5,0
4710,<5,13,706,6,147,6,67,0,179,396,343,368,56,258,39,100,0,"1,179",66,<5,0,5,0,<5,0,41,8
